liga,time,jogo,jogador,posicao_x,posicao_y,velocidade,batimentos
La Liga,Sevilla,Jogo 15,Ivan Rakitić,98,95,33.1,182
Serie A,Lazio,Jogo 15,Ciro Immobile,18,30,32.9,171
Serie A,Napoli,Jogo 15,Piotr Zieliński,28,86,23.5,178
La Liga,Atlético Madrid,Jogo 15,José Giménez,73,24,24.3,182
Brasileirão,Fluminense,Jogo 15,Fábio,57,67,28.0,163
Premier League,Liverpool,Jogo 15,Trent Alexander-Arnold,60,81,25.3,171
Ligue 1,Lyon,Jogo 15,Rayan Cherki,27,40,20.3,152
Serie A,Inter de Milão,Jogo 15,Lautaro Martínez,70,71,29.6,157
Premier League,Liverpool,Jogo 15,Mohamed Salah,33,0,25.0,157
Serie A,Inter de Milão,Jogo 15,Federico Dimarco,17,96,30.6,160
Eredivisie,AZ Alkmaar,Jogo 15,Dani de Wit,0,84,27.7,158
Bundesliga,Wolfsburg,Jogo 15,Lovro Majer,27,40,32.6,173
Ligue 1,Monaco,Jogo 15,Youssouf Fofana,18,33,27.2,166
Brasileirão,Corinthians,Jogo 15,Fagner,96,44,25.8,161
Premier League,Manchester United,Jogo 15,Marcus Rashford,32,93,27.1,164
Bundesliga,RB Leipzig,Jogo 15,Xavi Simons,6,5,30.6,154
Premier League,Arsenal,Jogo 15,Martin Ødegaard,67,15,29.4,183
Primeira Liga,Benfica,Jogo 15,Ángel Di María,79,27,25.9,171
Bundesliga,Freiburg,Jogo 15,Philipp Lienhart,9,62,32.7,172
Brasileirão,Palmeiras,Jogo 15,Endrick,26,20,28.9,172
Bundesliga,Wolfsburg,Jogo 15,Jonas Wind,36,56,33.1,160
Brasileirão,Palmeiras,Jogo 15,Dudu,20,64,27.1,163
La Liga,Sevilla,Jogo 15,Ivan Rakitić,63,19,25.2,156
Primeira Liga,Porto,Jogo 15,Mehdi Taremi,15,55,27.5,173
La Liga,Villarreal,Jogo 15,Álex Baena,85,83,26.0,152
Premier League,Liverpool,Jogo 15,Virgil van Dijk,87,26,33.0,163
Bundesliga,RB Leipzig,Jogo 16,Willi Orbán,9,69,20.2,189
Bundesliga,RB Leipzig,Jogo 16,Loïs Openda,56,17,24.9,163
Brasileirão,Atlético Mineiro,Jogo 16,Éverson,22,3,27.2,184
Serie A,Lazio,Jogo 16,Luis Alberto,92,60,21.1,157
Primeira Liga,Benfica,Jogo 16,Ángel Di María,12,28,33.1,187
Serie A,Inter de Milão,Jogo 16,Nicolò Barella,65,27,29.5,158
Premier League,Manchester United,Jogo 16,Casemiro,51,5,28.5,181
Brasileirão,Corinthians,Jogo 16,Fagner,20,31,25.1,151
Bundesliga,Bayern Munich,Jogo 16,Alphonso Davies,18,11,31.5,154
Premier League,Chelsea,Jogo 16,Reece James,27,90,30.2,150
La Liga,Real Madrid,Jogo 16,David Alaba,45,88,31.0,189
Brasileirão,São Paulo,Jogo 16,Lucas Moura,65,55,23.2,154
La Liga,Barcelona,Jogo 16,Robert Lewandowski,48,83,21.6,166
Serie A,Roma,Jogo 16,Lorenzo Pellegrini,68,93,29.9,178
Primeira Liga,Porto,Jogo 16,Diogo Costa,89,62,33.4,158
Eredivisie,Ajax,Jogo 16,Steven Bergwijn,83,100,34.4,179
Ligue 1,Marseille,Jogo 16,Geoffrey Kondogbia,10,34,24.0,159
Primeira Liga,Sporting CP,Jogo 16,Sebastián Coates,14,43,23.9,181
Ligue 1,Nice,Jogo 16,Dante,39,76,28.2,155
Brasileirão,Atlético Mineiro,Jogo 16,Paulinho,82,87,27.1,189
Brasileirão,São Paulo,Jogo 16,Calleri,56,91,25.5,176
Ligue 1,Lille,Jogo 16,Jonathan David,40,28,25.4,174
Brasileirão,São Paulo,Jogo 16,James Rodríguez,94,95,26.0,175
Premier League,Tottenham,Jogo 16,Son Heung-min,53,57,28.6,178
Premier League,Tottenham,Jogo 16,James Maddison,27,62,28.1,190
Primeira Liga,Braga,Jogo 16,Rodrigo Zalazar,59,40,26.8,160
Brasileirão,Flamengo,Jogo 16,Giorgian De Arrascaeta,15,91,23.6,177
Serie A,Lazio,Jogo 16,Luis Alberto,38,52,24.5,185
Ligue 1,Lyon,Jogo 16,Dejan Lovren,72,68,29.0,150
Eredivisie,Ajax,Jogo 16,Steven Berghuis,17,81,32.3,170
La Liga,Real Madrid,Jogo 16,David Alaba,71,8,30.9,176
Premier League,Manchester City,Jogo 16,Rodri,100,15,25.6,150
Serie A,Napoli,Jogo 16,Victor Osimhen,36,63,24.3,170
La Liga,Barcelona,Jogo 16,Robert Lewandowski,63,64,28.6,164
Bundesliga,Bayern Munich,Jogo 16,Jamal Musiala,32,62,24.7,175
La Liga,Barcelona,Jogo 16,Jules Koundé,9,16,30.4,152
Ligue 1,Paris Saint-Germain,Jogo 16,Marquinhos,83,77,33.1,170
Ligue 1,Lyon,Jogo 16,Alexandre Lacazette,4,89,21.4,151
Brasileirão,Atlético Mineiro,Jogo 16,Éverson,53,91,21.0,153
Ligue 1,Lyon,Jogo 16,Maxence Caqueret,80,87,31.2,168
Premier League,Chelsea,Jogo 16,Raheem Sterling,50,6,21.2,164
La Liga,Atlético Madrid,Jogo 16,Álvaro Morata,94,7,26.9,175
Serie A,Milan,Jogo 16,Theo Hernández,91,57,20.1,155
Ligue 1,Paris Saint-Germain,Jogo 16,Kylian Mbappé,66,77,33.3,158
Bundesliga,Bayern Munich,Jogo 16,Harry Kane,61,30,30.6,176
Bundesliga,Borussia Dortmund,Jogo 16,Mats Hummels,60,68,31.2,186
Bundesliga,RB Leipzig,Jogo 16,Loïs Openda,72,73,34.7,167
La Liga,Sevilla,Jogo 16,Ivan Rakitić,69,14,22.0,153
Ligue 1,Marseille,Jogo 16,Jonathan Clauss,94,72,21.1,168
Eredivisie,Feyenoord,Jogo 16,Calvin Stengs,69,96,33.0,183
Ligue 1,Lille,Jogo 17,Benjamin André,15,28,29.7,170
Serie A,Napoli,Jogo 17,Khvicha Kvaratskhelia,63,87,24.7,150
Bundesliga,RB Leipzig,Jogo 17,Loïs Openda,2,34,31.7,159
La Liga,Villarreal,Jogo 17,Raúl Albiol,16,72,27.7,172
Premier League,Chelsea,Jogo 17,Reece James,19,90,33.2,161
Brasileirão,Fluminense,Jogo 17,Jhon Arias,54,8,31.2,162
Premier League,Arsenal,Jogo 17,Declan Rice,96,0,29.2,151
La Liga,Real Betis,Jogo 17,Isco,66,14,28.2,181
Serie A,Roma,Jogo 17,Gianluca Mancini,26,88,23.0,152
Primeira Liga,Braga,Jogo 17,Simon Banza,24,70,30.8,154
Serie A,Inter de Milão,Jogo 17,Benjamin Pavard,37,55,34.1,161
Ligue 1,Monaco,Jogo 17,Breel Embolo,20,4,27.9,172
Eredivisie,Feyenoord,Jogo 17,Quinten Timber,90,33,34.2,187
La Liga,Sevilla,Jogo 17,Lucas Ocampos,50,40,27.8,154
Serie A,Juventus,Jogo 17,Bremer,15,94,26.8,151
Eredivisie,PSV Eindhoven,Jogo 17,Ismael Saibari,24,72,23.7,187
Brasileirão,Fluminense,Jogo 17,Fábio,66,4,28.6,168
Brasileirão,São Paulo,Jogo 17,Rafinha,85,44,32.9,184
Premier League,Manchester City,Jogo 17,Rodri,79,11,34.3,157
Premier League,Tottenham,Jogo 17,Destiny Udogie,99,49,34.9,181
Premier League,Tottenham,Jogo 17,Cristian Romero,90,0,26.5,185
Premier League,Arsenal,Jogo 17,William Saliba,77,31,24.9,156
Premier League,Arsenal,Jogo 17,Bukayo Saka,64,12,22.8,171
Serie A,Inter de Milão,Jogo 17,Benjamin Pavard,61,11,30.7,182
Bundesliga,RB Leipzig,Jogo 17,Willi Orbán,8,65,29.3,189
Eredivisie,PSV Eindhoven,Jogo 17,Ismael Saibari,55,66,27.1,153
Serie A,Napoli,Jogo 17,Victor Osimhen,43,22,20.1,178
Ligue 1,Marseille,Jogo 17,Pau López,64,24,34.7,187
Premier League,Tottenham,Jogo 17,Richarlison,53,49,34.5,160
Eredivisie,AZ Alkmaar,Jogo 17,Yukinari Sugawara,25,81,31.9,158
Bundesliga,Borussia Dortmund,Jogo 17,Marco Reus,82,72,34.6,181
Serie A,Inter de Milão,Jogo 17,Benjamin Pavard,88,8,24.3,176
Primeira Liga,Porto,Jogo 17,Diogo Costa,21,21,34.9,172
Primeira Liga,Vitória SC,Jogo 17,Tiago Silva,35,63,32.2,163
La Liga,Villarreal,Jogo 17,Pau Torres,25,46,30.1,155
Serie A,Lazio,Jogo 17,Ciro Immobile,38,36,25.1,187
Ligue 1,Lille,Jogo 17,Leny Yoro,40,6,24.1,178
Serie A,Inter de Milão,Jogo 17,Benjamin Pavard,6,38,28.3,151
La Liga,Barcelona,Jogo 17,Robert Lewandowski,88,98,31.6,178
Primeira Liga,Vitória SC,Jogo 17,Bruno Gaspar,77,92,31.2,174
Eredivisie,Feyenoord,Jogo 17,Santiago Giménez,1,15,24.8,156
Serie A,Inter de Milão,Jogo 17,Hakan Çalhanoğlu,27,92,20.6,187
Ligue 1,Lille,Jogo 17,Edon Zhegrova,73,54,20.9,176
La Liga,Villarreal,Jogo 17,Pau Torres,96,22,27.1,167
La Liga,Real Madrid,Jogo 17,Jude Bellingham,53,31,21.9,170
Ligue 1,Paris Saint-Germain,Jogo 17,Ousmane Dembélé,97,44,28.4,162
La Liga,Real Betis,Jogo 17,Guido Rodríguez,92,14,26.9,187
Primeira Liga,Vitória SC,Jogo 17,Bruno Gaspar,64,1,23.4,187
Brasileirão,Fluminense,Jogo 17,Fábio,93,35,22.1,160
La Liga,Atlético Madrid,Jogo 17,Antoine Griezmann,82,92,21.3,187
Eredivisie,Ajax,Jogo 18,Brian Brobbey,67,69,29.0,183
Brasileirão,Atlético Mineiro,Jogo 18,Éverson,99,5,24.2,177
La Liga,Villarreal,Jogo 18,Pau Torres,27,65,33.3,179
Eredivisie,PSV Eindhoven,Jogo 18,Joey Veerman,95,83,21.4,175
Bundesliga,Wolfsburg,Jogo 18,Patrick Wimmer,27,41,23.7,157
Primeira Liga,Braga,Jogo 18,Alvaro Djaló,19,95,25.8,180
Premier League,Chelsea,Jogo 18,Enzo Fernández,37,47,20.7,153
Primeira Liga,Vitória SC,Jogo 18,Tiago Silva,53,76,29.6,187
Brasileirão,São Paulo,Jogo 18,Rafinha,70,87,28.7,154
Premier League,Liverpool,Jogo 18,Virgil van Dijk,10,30,23.6,161
Primeira Liga,Porto,Jogo 18,Galeno,9,56,25.6,156
Serie A,Napoli,Jogo 18,Victor Osimhen,55,86,28.3,177
Primeira Liga,Porto,Jogo 18,Galeno,36,35,29.5,161
Bundesliga,RB Leipzig,Jogo 18,Mohamed Simakan,37,92,30.2,189
La Liga,Real Madrid,Jogo 18,Aurélien Tchouaméni,81,81,20.3,188
Serie A,Lazio,Jogo 18,Sergej Milinković-Savić,68,31,26.8,167
Bundesliga,Wolfsburg,Jogo 18,Jonas Wind,57,94,26.1,170
Bundesliga,Wolfsburg,Jogo 18,Maxence Lacroix,24,54,25.3,154
Primeira Liga,Benfica,Jogo 18,Ángel Di María,73,56,34.8,188
Premier League,Arsenal,Jogo 18,Declan Rice,53,18,31.2,184
Premier League,Arsenal,Jogo 18,William Saliba,43,27,26.4,175
Primeira Liga,Porto,Jogo 18,Mehdi Taremi,61,80,23.8,156
Eredivisie,Ajax,Jogo 18,Jorrel Hato,89,22,22.1,188
Eredivisie,Feyenoord,Jogo 18,Quinten Timber,41,78,20.9,168
Bundesliga,Freiburg,Jogo 18,Christian Günter,99,55,23.3,168
Bundesliga,Borussia Dortmund,Jogo 18,Mats Hummels,19,23,30.1,158
Bundesliga,RB Leipzig,Jogo 18,Xavi Simons,14,83,24.8,153
Bundesliga,Borussia Dortmund,Jogo 18,Niclas Füllkrug,12,58,28.7,152
Serie A,Lazio,Jogo 18,Alessio Romagnoli,12,82,21.1,174
Ligue 1,Monaco,Jogo 18,Aleksandr Golovin,90,52,23.5,190
Primeira Liga,Porto,Jogo 18,Wendell,78,23,29.1,188
Brasileirão,Flamengo,Jogo 18,Éverton Ribeiro,21,52,34.5,164
Bundesliga,RB Leipzig,Jogo 18,Loïs Openda,55,99,22.7,186
Premier League,Arsenal,Jogo 18,Bukayo Saka,30,62,34.4,176
Premier League,Tottenham,Jogo 18,Cristian Romero,91,33,32.8,158
Ligue 1,Nice,Jogo 18,Terem Moffi,13,63,23.3,159
Primeira Liga,Porto,Jogo 18,Diogo Costa,37,70,30.3,164
Eredivisie,Utrecht,Jogo 18,Mike van der Hoorn,36,54,30.2,185
La Liga,Real Betis,Jogo 18,Guido Rodríguez,61,34,24.2,173
Bundesliga,Wolfsburg,Jogo 18,Koen Casteels,64,74,28.0,184
Bundesliga,Bayer Leverkusen,Jogo 18,Florian Wirtz,52,63,34.4,152
Ligue 1,Marseille,Jogo 18,Pau López,7,59,32.8,154
Bundesliga,Borussia Dortmund,Jogo 18,Julian Brandt,86,26,25.9,180
Serie A,Lazio,Jogo 18,Alessio Romagnoli,26,69,31.6,170
Ligue 1,Marseille,Jogo 18,Pau López,28,3,32.1,174
Brasileirão,Fluminense,Jogo 18,Fábio,97,42,24.4,160
Bundesliga,Borussia Dortmund,Jogo 18,Marco Reus,49,18,20.4,182
Primeira Liga,Estoril,Jogo 18,Cassiano,81,13,22.3,151
Serie A,Roma,Jogo 18,Lorenzo Pellegrini,39,39,21.8,151
Primeira Liga,Braga,Jogo 18,Rodrigo Zalazar,12,90,25.6,168
Eredivisie,Ajax,Jogo 19,Steven Bergwijn,3,51,30.0,162
Eredivisie,Feyenoord,Jogo 19,Quinten Timber,12,10,22.3,187
Bundesliga,Borussia Dortmund,Jogo 19,Julian Brandt,9,9,22.4,190
Primeira Liga,Braga,Jogo 19,José Fonte,69,68,28.7,157
Serie A,Roma,Jogo 19,Paulo Dybala,39,65,33.2,189
Serie A,Juventus,Jogo 19,Federico Chiesa,30,79,29.4,156
Ligue 1,Lyon,Jogo 19,Anthony Lopes,73,53,22.2,188
Primeira Liga,Braga,Jogo 19,Ricardo Horta,50,21,27.7,178
Brasileirão,São Paulo,Jogo 19,Luciano,51,46,33.1,160
Primeira Liga,Sporting CP,Jogo 19,Marcus Edwards,79,3,24.2,176
Brasileirão,Fluminense,Jogo 19,Jhon Arias,79,62,21.8,161
Serie A,Roma,Jogo 19,Gianluca Mancini,46,73,31.6,174
La Liga,Villarreal,Jogo 19,Álex Baena,75,48,24.8,182
Ligue 1,Marseille,Jogo 19,Ismaïla Sarr,41,70,27.1,163
Brasileirão,Corinthians,Jogo 19,Yuri Alberto,91,28,30.5,189
Brasileirão,Fluminense,Jogo 19,Germán Cano,47,36,32.1,190
Brasileirão,Fluminense,Jogo 19,Jhon Arias,46,84,30.3,157
Eredivisie,Feyenoord,Jogo 19,Quinten Timber,51,55,33.3,154
Eredivisie,AZ Alkmaar,Jogo 19,Vangelis Pavlidis,30,57,31.2,190
Premier League,Arsenal,Jogo 19,William Saliba,90,44,28.4,157
Premier League,Arsenal,Jogo 19,Declan Rice,91,35,30.9,175
Bundesliga,Wolfsburg,Jogo 19,Jonas Wind,15,67,24.0,176
Serie A,Juventus,Jogo 19,Federico Chiesa,46,26,21.0,175
Bundesliga,Borussia Dortmund,Jogo 19,Julian Brandt,91,64,21.5,166
Premier League,Manchester City,Jogo 19,Phil Foden,84,53,30.4,152
Eredivisie,PSV Eindhoven,Jogo 19,Ismael Saibari,45,41,27.4,166
Primeira Liga,Estoril,Jogo 19,Morlaye Sylla,57,30,32.7,187
Ligue 1,Paris Saint-Germain,Jogo 19,Kylian Mbappé,84,66,26.5,186
Serie A,Milan,Jogo 19,Mike Maignan,57,72,23.1,164
Ligue 1,Nice,Jogo 19,Jean-Clair Todibo,65,13,21.3,177
Ligue 1,Lyon,Jogo 19,Alexandre Lacazette,88,60,35.0,179
Brasileirão,Palmeiras,Jogo 19,Weverton,17,71,33.3,152
La Liga,Atlético Madrid,Jogo 19,Jan Oblak,63,35,21.2,150
Premier League,Chelsea,Jogo 19,Mykhailo Mudryk,59,48,22.0,164
Ligue 1,Marseille,Jogo 19,Pierre-Emerick Aubameyang,35,53,22.2,187
La Liga,Villarreal,Jogo 19,Álex Baena,39,60,21.5,172
Eredivisie,Utrecht,Jogo 19,Jens Toornstra,61,66,30.8,156
Serie A,Lazio,Jogo 19,Alessio Romagnoli,43,44,32.9,183
La Liga,Villarreal,Jogo 19,Pau Torres,82,30,27.3,167
Premier League,Tottenham,Jogo 19,Richarlison,48,24,32.0,173
Premier League,Manchester City,Jogo 19,Kevin De Bruyne,21,53,26.2,151
Ligue 1,Paris Saint-Germain,Jogo 19,Marquinhos,7,89,22.8,174
Ligue 1,Lyon,Jogo 19,Dejan Lovren,40,23,23.7,178
Serie A,Lazio,Jogo 19,Luis Alberto,66,7,31.0,152
Brasileirão,Atlético Mineiro,Jogo 19,Paulinho,79,66,20.3,153
Serie A,Juventus,Jogo 19,Bremer,22,67,26.1,166
Brasileirão,Corinthians,Jogo 19,Fábio Santos,22,83,26.1,160
Brasileirão,Palmeiras,Jogo 19,Endrick,95,41,33.1,182
Serie A,Napoli,Jogo 19,Victor Osimhen,5,9,31.5,171
Brasileirão,Atlético Mineiro,Jogo 19,Paulinho,40,98,23.3,180
Eredivisie,Utrecht,Jogo 20,Sam Lammers,43,2,22.3,189
Ligue 1,Marseille,Jogo 20,Ismaïla Sarr,64,19,29.1,182
Serie A,Inter de Milão,Jogo 20,Benjamin Pavard,66,7,27.4,152
La Liga,Real Betis,Jogo 20,Germán Pezzella,6,61,29.2,162
Serie A,Milan,Jogo 20,Mike Maignan,77,84,31.0,158
Eredivisie,Utrecht,Jogo 20,Mike van der Hoorn,69,82,27.7,184
La Liga,Sevilla,Jogo 20,Lucas Ocampos,24,92,32.5,161
Serie A,Milan,Jogo 20,Fikayo Tomori,79,49,20.5,188
Bundesliga,RB Leipzig,Jogo 20,Dani Olmo,45,80,30.2,154
Eredivisie,Ajax,Jogo 20,Brian Brobbey,87,34,22.5,150
Bundesliga,RB Leipzig,Jogo 20,Willi Orbán,48,86,30.1,151
Serie A,Napoli,Jogo 20,André-Frank Zambo Anguissa,29,100,29.9,189
Eredivisie,Feyenoord,Jogo 20,Santiago Giménez,16,73,26.4,171
Premier League,Chelsea,Jogo 20,Reece James,59,38,33.7,189
Eredivisie,Feyenoord,Jogo 20,Quinten Timber,60,39,21.8,153
Serie A,Juventus,Jogo 20,Dusan Vlahovic,13,75,30.4,167
Primeira Liga,Estoril,Jogo 20,Alejandro Marqués,10,60,34.0,171
Primeira Liga,Vitória SC,Jogo 20,Tomás Silva,55,37,23.4,155
La Liga,Villarreal,Jogo 20,Raúl Albiol,96,3,30.1,187
Premier League,Liverpool,Jogo 20,Mohamed Salah,5,89,20.4,170
Serie A,Roma,Jogo 20,Paulo Dybala,68,86,28.9,178
Primeira Liga,Benfica,Jogo 20,Alexander Bah,8,91,28.5,163
Bundesliga,RB Leipzig,Jogo 20,Dani Olmo,3,84,34.5,153
Premier League,Arsenal,Jogo 20,Gabriel Martinelli,44,83,26.5,181
Bundesliga,Wolfsburg,Jogo 20,Patrick Wimmer,97,77,30.2,161
Premier League,Liverpool,Jogo 20,Alisson,75,76,29.6,165
Eredivisie,Twente,Jogo 20,Michel Vlap,20,59,24.5,178
Primeira Liga,Porto,Jogo 20,Galeno,72,100,23.5,155
La Liga,Atlético Madrid,Jogo 20,José Giménez,43,60,33.5,175
La Liga,Villarreal,Jogo 20,Pau Torres,99,28,29.1,151
Ligue 1,Monaco,Jogo 20,Breel Embolo,37,7,27.2,183
Brasileirão,Atlético Mineiro,Jogo 20,Éverson,96,95,27.1,153
Serie A,Napoli,Jogo 20,Victor Osimhen,11,42,23.3,182
Serie A,Napoli,Jogo 20,Khvicha Kvaratskhelia,65,45,20.7,175
Bundesliga,RB Leipzig,Jogo 20,Willi Orbán,21,77,34.7,155
Brasileirão,Atlético Mineiro,Jogo 20,Guilherme Arana,6,34,25.5,166
Premier League,Arsenal,Jogo 20,William Saliba,38,89,20.8,155
Eredivisie,Utrecht,Jogo 20,Oscar Fraulo,21,18,20.6,151
Serie A,Napoli,Jogo 20,André-Frank Zambo Anguissa,55,90,26.4,161
Ligue 1,Lille,Jogo 20,Benjamin André,60,41,34.8,175
Bundesliga,Borussia Dortmund,Jogo 20,Mats Hummels,83,8,35.0,159
Ligue 1,Paris Saint-Germain,Jogo 20,Ousmane Dembélé,39,46,22.6,179
Ligue 1,Marseille,Jogo 20,Pau López,34,81,33.4,156
Eredivisie,Utrecht,Jogo 20,Oscar Fraulo,73,10,33.7,163
Primeira Liga,Sporting CP,Jogo 20,Sebastián Coates,31,99,25.1,163
Serie A,Inter de Milão,Jogo 20,Lautaro Martínez,3,56,30.6,172
Serie A,Inter de Milão,Jogo 20,Nicolò Barella,28,85,33.8,172
Bundesliga,Bayern Munich,Jogo 20,Jamal Musiala,73,85,22.3,158
La Liga,Real Betis,Jogo 20,Isco,10,36,27.4,175
Primeira Liga,Sporting CP,Jogo 20,Pedro Gonçalves,38,59,30.5,188
Primeira Liga,Vitória SC,Jogo 21,Tomás Silva,8,89,32.7,165
Ligue 1,Marseille,Jogo 21,Pau López,39,67,30.9,172
Serie A,Milan,Jogo 21,Olivier Giroud,50,81,29.4,155
Ligue 1,Nice,Jogo 21,Gaëtan Laborde,30,64,23.7,167
La Liga,Real Betis,Jogo 21,Juan Miranda,75,16,21.9,163
Brasileirão,Palmeiras,Jogo 21,Dudu,11,21,29.9,184
La Liga,Villarreal,Jogo 21,Pau Torres,74,32,28.7,188
Serie A,Milan,Jogo 21,Mike Maignan,7,29,34.6,181
Bundesliga,Borussia Dortmund,Jogo 21,Mats Hummels,41,30,24.6,162
Brasileirão,Atlético Mineiro,Jogo 21,Éverson,44,81,20.6,167
La Liga,Sevilla,Jogo 21,Ivan Rakitić,0,84,24.4,186
Ligue 1,Paris Saint-Germain,Jogo 21,Kylian Mbappé,56,15,20.0,170
Ligue 1,Lille,Jogo 21,Edon Zhegrova,15,26,21.8,172
La Liga,Villarreal,Jogo 21,Gerard Moreno,75,91,30.0,157
La Liga,Barcelona,Jogo 21,Jules Koundé,46,39,35.0,156
La Liga,Real Madrid,Jogo 21,Jude Bellingham,22,96,33.8,170
Eredivisie,PSV Eindhoven,Jogo 21,Ismael Saibari,37,86,34.6,153
Serie A,Inter de Milão,Jogo 21,Federico Dimarco,63,2,21.4,184
Ligue 1,Lyon,Jogo 21,Dejan Lovren,33,71,32.1,177
Ligue 1,Monaco,Jogo 21,Breel Embolo,70,37,25.4,167
Ligue 1,Monaco,Jogo 21,Aleksandr Golovin,17,99,29.9,173
Primeira Liga,Vitória SC,Jogo 21,Jota Silva,39,70,27.7,178
Eredivisie,Ajax,Jogo 21,Devyne Rensch,78,15,27.4,176
Bundesliga,Bayern Munich,Jogo 21,Jamal Musiala,48,8,27.7,176
Serie A,Juventus,Jogo 21,Adrien Rabiot,18,80,22.4,173
La Liga,Villarreal,Jogo 21,Álex Baena,59,41,22.3,154
Ligue 1,Nice,Jogo 21,Dante,91,26,29.6,166
La Liga,Barcelona,Jogo 21,Ronald Araújo,9,26,26.7,184
Ligue 1,Monaco,Jogo 21,Youssouf Fofana,69,14,20.3,164
Premier League,Manchester United,Jogo 21,Casemiro,76,98,26.1,171
Bundesliga,RB Leipzig,Jogo 21,Dani Olmo,28,99,22.2,154
Primeira Liga,Estoril,Jogo 21,Alejandro Marqués,69,63,29.7,166
Bundesliga,Borussia Dortmund,Jogo 21,Julian Brandt,70,6,23.7,164
Premier League,Arsenal,Jogo 21,William Saliba,32,70,25.8,163
Brasileirão,Corinthians,Jogo 21,Fagner,5,80,26.1,166
Brasileirão,Atlético Mineiro,Jogo 21,Éverson,86,40,20.1,168
Premier League,Tottenham,Jogo 21,Richarlison,21,27,27.3,157
Bundesliga,Bayern Munich,Jogo 21,Jamal Musiala,21,9,25.1,166
Primeira Liga,Vitória SC,Jogo 21,Jota Silva,43,23,22.4,152
Bundesliga,Borussia Dortmund,Jogo 21,Emre Can,98,8,24.2,164
Primeira Liga,Porto,Jogo 21,Galeno,93,23,28.9,152
Ligue 1,Lille,Jogo 21,Benjamin André,72,43,23.1,156
Premier League,Manchester City,Jogo 21,Phil Foden,67,100,34.6,152
Ligue 1,Nice,Jogo 21,Gaëtan Laborde,48,28,26.5,187
Primeira Liga,Vitória SC,Jogo 21,André Silva,89,33,32.1,177
Serie A,Milan,Jogo 21,Olivier Giroud,54,97,23.2,176
Serie A,Lazio,Jogo 21,Ciro Immobile,45,11,28.6,165
Eredivisie,Ajax,Jogo 21,Devyne Rensch,94,50,24.0,173
Bundesliga,Borussia Dortmund,Jogo 21,Emre Can,35,67,33.2,186
Primeira Liga,Estoril,Jogo 21,Morlaye Sylla,93,53,32.5,152
Brasileirão,Corinthians,Jogo 22,Fábio Santos,17,46,24.8,159
Premier League,Arsenal,Jogo 22,Declan Rice,88,77,30.3,164
Ligue 1,Monaco,Jogo 22,Aleksandr Golovin,69,34,28.9,150
Ligue 1,Marseille,Jogo 22,Jonathan Clauss,53,63,30.7,158
Primeira Liga,Benfica,Jogo 22,João Félix,29,89,23.9,169
La Liga,Sevilla,Jogo 22,Ivan Rakitić,12,5,24.6,159
Bundesliga,Wolfsburg,Jogo 22,Jonas Wind,60,54,23.5,189
Bundesliga,Bayern Munich,Jogo 22,Joshua Kimmich,17,73,23.5,150
Bundesliga,RB Leipzig,Jogo 22,Loïs Openda,11,73,28.5,161
Primeira Liga,Porto,Jogo 22,Evanilson,33,38,33.2,182
La Liga,Villarreal,Jogo 22,Daniel Parejo,31,60,21.9,157
Ligue 1,Lyon,Jogo 22,Rayan Cherki,91,24,33.9,182
Primeira Liga,Braga,Jogo 22,José Fonte,85,18,34.9,177
Serie A,Milan,Jogo 22,Fikayo Tomori,71,61,21.4,164
La Liga,Sevilla,Jogo 22,Ivan Rakitić,4,51,21.6,189
Primeira Liga,Braga,Jogo 22,Simon Banza,46,29,25.1,172
Primeira Liga,Vitória SC,Jogo 22,Tiago Silva,78,60,29.0,167
Eredivisie,AZ Alkmaar,Jogo 22,Ruben van Bommel,99,52,32.7,166
Serie A,Lazio,Jogo 22,Ciro Immobile,37,61,23.0,160
Serie A,Inter de Milão,Jogo 22,Federico Dimarco,30,81,23.8,172
Premier League,Manchester City,Jogo 22,Erling Haaland,1,93,28.1,173
Serie A,Juventus,Jogo 22,Adrien Rabiot,75,37,34.0,155
Bundesliga,Borussia Dortmund,Jogo 22,Emre Can,53,68,30.1,167
Premier League,Manchester City,Jogo 22,Phil Foden,61,65,21.5,180
Ligue 1,Monaco,Jogo 22,Caio Henrique,100,50,31.5,151
Brasileirão,São Paulo,Jogo 22,Luciano,99,67,24.3,164
Brasileirão,São Paulo,Jogo 22,Luciano,20,83,23.9,184
Brasileirão,Flamengo,Jogo 22,Bruno Henrique,15,100,24.1,184
Premier League,Chelsea,Jogo 22,Raheem Sterling,73,86,30.5,166
Brasileirão,Atlético Mineiro,Jogo 22,Paulinho,53,8,26.3,177
Serie A,Roma,Jogo 22,Lorenzo Pellegrini,66,2,30.4,174
Serie A,Roma,Jogo 22,Gianluca Mancini,60,45,28.1,158
Primeira Liga,Vitória SC,Jogo 22,Bruno Gaspar,19,94,26.2,166
La Liga,Sevilla,Jogo 22,Ivan Rakitić,9,86,28.6,183
La Liga,Sevilla,Jogo 22,Sergio Ramos,7,10,23.9,155
Primeira Liga,Estoril,Jogo 22,Cassiano,95,57,23.1,177
Serie A,Roma,Jogo 22,Gianluca Mancini,80,60,23.7,189
Ligue 1,Paris Saint-Germain,Jogo 22,Marquinhos,88,62,27.0,190
La Liga,Real Betis,Jogo 22,Juan Miranda,100,17,21.8,164
La Liga,Sevilla,Jogo 22,Lucas Ocampos,34,11,26.0,172
